141	387.511	185.581	8.29388	1.60807
142	386.199	184.209	8.29238	1.60002
143	384.814	182.849	8.30573	1.544
144	383.384	181.538	8.30947	1.56603
145	381.923	180.28	8.28802	1.57618
146	380.45	179.097	8.26853	1.54497
147	378.974	177.997	8.25898	1.52474
148	377.5	176.963	8.2543	1.46401
149	376.035	176.016	8.26522	1.44673
150	374.605	175.163	8.2603	1.37761
151	373.191	174.407	8.30411	1.4817
152	371.814	173.717	8.32071	1.4957
153	370.494	173.12	8.30941	1.42894
154	369.218	172.608	8.3172	1.3594
155	368.006	172.196	8.35144	1.37412
156	366.876	171.894	8.36285	1.38752
157	365.82	171.691	8.35474	1.39457
158	364.854	171.591	8.36667	1.33811
159	363.977	171.603	8.37225	1.4129
160	363.197	171.715	8.35419	1.34225
161	362.513	171.906	8.34224	1.33608
162	361.921	172.171	8.32852	1.3437
163	361.433	172.512	8.30235	1.32007
164	361.034	172.911	8.28799	1.35836
165	360.711	173.36	8.2395	1.41761
166	360.46	173.844	8.19889	1.38037
167	360.264	174.368	8.1968	1.41117
168	360.133	174.919	8.15166	1.44606
169	360.048	175.513	8.08213	1.43105
170	360.012	176.168	8.16981	1.55893
171	360.053	176.828	8.14901	1.52377
172	360.191	177.492	8.07275	1.54133
173	360.416	178.136	8.09939	1.50725
174	360.764	178.824	8.08443	1.53358
175	361.238	179.557	8.12717	1.55494
176	361.803	180.3	8.08565	1.45515
177	362.472	181.056	8.07467	1.49238
178	363.275	181.903	8.10057	1.52829
179	364.169	182.802	8.08691	1.53441
180	365.169	183.807	8.12873	1.56187
181	366.264	184.932	8.08573	1.41986
182	367.418	186.154	8.11049	1.47403
183	368.629	187.48	8.09071	1.46259
184	369.891	188.898	8.04989	1.42896
185	371.189	190.394	8.05499	1.36645
186	372.528	191.975	8.06831	1.32409
187	373.929	193.653	8.07783	1.34502
188	375.334	195.42	8.07334	1.32599
189	376.758	197.284	8.09095	1.36375
190	378.198	199.235	8.11294	1.3051
191	379.634	201.259	8.09236	1.34912
192	381.042	203.33	8.10657	1.33393
193	382.436	205.462	8.07124	1.32939
194	383.781	207.593	8.055	1.34588
195	385.076	209.713	8.02712	1.2724
196	386.316	211.799	8.03694	1.36776
197	387.503	213.853	8.02142	1.2655
198	388.613	215.83	8.01015	1.34526
199	389.663	217.739	8.00632	1.32732
200	390.627	219.553	7.98966	1.27882
201	391.496	221.235	7.96194	1.25734
202	392.275	222.786	7.93751	1.22363
203	392.943	224.161	7.90016	1.18611
204	393.505	225.371	7.85742	1.17218
205	393.936	226.384	7.82403	1.13351
206	394.249	227.257	7.79102	1.1543
207	394.416	227.992	7.79089	1.20967
208	394.432	228.525	7.7618	1.25452
209	394.329	228.885	7.75637	1.24992
210	394.065	229.032	7.75483	1.28078
211	393.644	229.001	7.79154	1.31832
212	393.074	228.729	7.82608	1.3768
